Causa;Sexo;Edad;Periodo;Total muertes
Enfermedades infecciosas y parasitarias;Hombres;De menos de 1 año;2010;9
Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;2010;9
Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;2010;1
Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años  ;2010;3
Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años  ;2010;3
Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;2010;6
Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;2010;20
Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;2010;49
Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;2010;113
Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;2010;256
Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;2010;345
Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;2010;244
Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;2010;148
Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;2010;182
Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;2010;171
Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años  ;2010;260
Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años  ;2010;447
Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años  ;2010;518
Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años  ;2010;422
Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años  ;2010;194
Enfermedades infecciosas y parasitarias;Hombres;De 95 y más años;2010;70
Enfermedades infecciosas y parasitarias;Mujeres;De menos de 1 año;2010;12
Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;2010;9
Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;2010;4
Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años  ;2010;1
Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años  ;2010;3
Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;2010;7
Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;2010;9
Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;2010;21
Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;2010;44
Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;2010;68
Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;2010;98
Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;2010;49
Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;2010;51
Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;2010;58
Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;2010;119
Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años  ;2010;201
Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años  ;2010;423
Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años  ;2010;562
Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años  ;2010;700
Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años  ;2010;411
Enfermedades infecciosas y parasitarias;Mujeres;De 95 y más años;2010;169
Tumores;Hombres;De menos de 1 año;2010;4
Tumores;Hombres;De 1 a 4 años;2010;32
Tumores;Hombres;De 5 a 9 años;2010;51
Tumores;Hombres;De 10 a 14 años  ;2010;43
Tumores;Hombres;De 15 a 19 años  ;2010;56
Tumores;Hombres;De 20 a 24 años;2010;76
Tumores;Hombres;De 25 a 29 años;2010;103
Tumores;Hombres;De 30 a 34 años;2010;193
Tumores;Hombres;De 35 a 39 años;2010;317
